index,id,x,y,lon,lat,s2_id,geometry
14791193,14791193,529871.9754622765,181482.78755149106,-0.1296264858538677,51.51734716246317,5221390700103369831,"[529871.9754622765, 181482.78755149106]"
1490441420,1490441420,529689.9042432001,181547.6514958592,-0.1322252132829437,51.51797187260897,5221390695172363853,"[529689.9042432001, 181547.6514958592]"
1490441421,1490441421,529706.1345542714,181557.7579242555,-0.1319877078855426,51.51805897525026,5221390700972723139,"[529706.1345542714, 181557.7579242555]"
14954185,14954185,529964.3492779888,182713.78615762538,-0.1278420518987557,51.528388743890815,5221390758769546421,"[529964.3492779888, 182713.78615762538]"
14954215,14954215,530009.4584584426,182513.36299843772,-0.12726607599549822,51.52657719890951,5221390756382425739,"[530009.4584584426, 182513.36299843772]"
14958916,14958916,529965.430583094,182481.3570889028,-0.12791218931613862,51.52629968998132,5221390757086475489,"[529965.430583094, 182481.3570889028]"
14958917,14958917,529919.1039711696,182544.63449745445,-0.12855628764970004,51.52687900304128,5221390757267570127,"[529919.1039711696, 182544.63449745445]"
14958918,14958918,529897.9665946867,182540.08796340466,-0.1288624922960921,51.52684300125321,5221390757292884113,"[529897.9665946867, 182540.08796340466]"
14958919,14958919,529842.4263866117,182632.5852863065,-0.12962858764585122,51.527687020496224,5221390664450573335,"[529842.4263866117, 182632.5852863065]"
14959003,14959003,529838.5004773487,182493.99027665297,-0.12973621073895092,51.52644238862283,5221390664938590357,"[529838.5004773487, 182493.99027665297]"
14959374,14959374,529994.6215705033,182662.40548055264,-0.1274248546015475,51.52792003310559,5221390757699168119,"[529994.6215705033, 182662.40548055264]"
1508437746,1508437746,528342.3146290808,181519.25513857452,-0.15164690552491278,51.51802414530074,5221390308908637253,"[528342.3146290808, 181519.25513857452]"
1514726033,1514726033,528731.4728466352,181975.86957362742,-0.14587453462182945,51.52203924314401,5221390327705980155,"[528731.4728466352, 181975.86957362742]"
1547268610,1547268610,530902.9113896949,182602.10729621112,-0.11436119015791586,51.52716854546761,5221390806725832463,"[530902.9113896949, 182602.10729621112]"
1547268612,1547268612,530907.5095634789,182606.83268309355,-0.11429318839052383,51.527209946603946,5221390806723670507,"[530907.5095634789, 182606.83268309355]"
1558358070,1558358070,528213.4722779321,182267.45261753304,-0.1532306905183136,51.52477738682222,5221390298559265591,"[528213.4722779321, 182267.45261753304]"
1590219788,1590219788,527876.8072241073,181251.77678128588,-0.1584493678442099,51.5157257847502,5221390284260149517,"[527876.8072241073, 181251.77678128588]"
1604752665,1604752665,529991.6025314381,181572.34160092514,-0.12787034385130164,51.51812448541934,5221390721285189311,"[529991.6025314381, 181572.34160092514]"
1610951149,1610951149,527955.8881282583,181349.50795765338,-0.15727482891932582,51.51658620584765,5221390283931252067,"[527955.8881282583, 181349.50795765338]"
1610951150,1610951150,528100.4088824923,181397.52541644103,-0.15517568536298285,51.51698501786527,5221390285835441279,"[528100.4088824923, 181397.52541644103]"
1610964470,1610964470,528176.8964670885,181808.3221202002,-0.1539245876078663,51.52065949814416,5221390290279802761,"[528176.8964670885, 181808.3221202002]"
1610964526,1610964526,528149.3977381085,182029.38799109455,-0.15424035094849758,51.522652440133,5221390290945698429,"[528149.3977381085, 182029.38799109455]"
1611022251,1611022251,528168.2946280263,181874.9478896045,-0.15402427664271687,51.52126021079338,5221390290389808855,"[528168.2946280263, 181874.9478896045]"
1611022252,1611022252,528198.2247687677,181878.37360285874,-0.1535918691981924,51.52128421192239,5221390290441676961,"[528198.2247687677, 181878.37360285874]"
1611022413,1611022413,528183.0687424241,182004.46616547107,-0.15376434820428417,51.52242083587971,5221390290877198091,"[528183.0687424241, 182004.46616547107]"
1611082162,1611082162,528716.2672535151,181694.30280966416,-0.14619639223238245,51.519512286047245,5221390316085851159,"[528716.2672535151, 181694.30280966416]"
1611082164,1611082164,528760.6574761191,181708.19081024604,-0.14555188009652725,51.51962698969399,5221390316225895797,"[528760.6574761191, 181708.19081024604]"
1611082199,1611082199,528708.3453165109,181819.03086271667,-0.1462649698476183,51.520635010978495,5221390327344946953,"[528708.3453165109, 181819.03086271667]"
1611082201,1611082201,528705.291385182,181828.60106631264,-0.14630546865222938,51.520721712835844,5221390327355793177,"[528705.291385182, 181828.60106631264]"
1611082203,1611082203,528702.7552352767,181836.09241245646,-0.1463392677477144,51.520789614285526,5221390327330209735,"[528702.7552352767, 181836.09241245646]"
1611082205,1611082205,528816.0461956068,182069.15889443946,-0.14462209847807225,51.522858364366854,5221390328748817551,"[528816.0461956068, 182069.15889443946]"
1611082208,1611082208,528715.7864201653,182072.23714855337,-0.14606531936762904,51.522908862168144,5221390329370336275,"[528715.7864201653, 182072.23714855337]"
1611125269,1611125269,528732.4069773781,181279.72186816443,-0.14611527027693585,51.515782802614844,5221390318958721653,"[528732.4069773781, 181279.72186816443]"
1611125273,1611125273,528809.4920602253,181305.46587224066,-0.14499554848451926,51.51599660878952,5221390319104198553,"[528809.4920602253, 181305.46587224066]"
1611125318,1611125318,528762.8503540418,181333.7161078938,-0.145657052817973,51.51626111394631,5221390318327094241,"[528762.8503540418, 181333.7161078938]"
1611125463,1611125463,528795.0175314075,181414.9944379095,-0.1451640295965113,51.51698423083642,5221390319884229837,"[528795.0175314075, 181414.9944379095]"
1611159798,1611159798,528087.064760454,181440.24119571032,-0.15535237976327795,51.51737192608768,5221390285767323701,"[528087.064760454, 181440.24119571032]"
