index,id,from,to,freespeed,capacity,permlanes,oneway,modes,s2_from,s2_to,attributes,length,geometry,u,v
331,331,107863,1104473062,22.22222222222222,1500.0,1.0,1,{'car'},5221390728651443177,5221390729140338667,"{'osm:way:highway': 'primary', 'osm:way:id': 438311806.0, 'osm:way:name': 'Southampton Row', 'osm:way:oneway': 'no'}",82.48308347140892,sueuixaBasusnz`@egukHvivrK,107863,1104473062
1684,1684,107864,4681962046,22.22222222222222,4500.0,3.0,1,{'car'},5221390716457825391,5221390716541851215,"{'osm:way:highway': 'primary', 'osm:way:id': 2876891.0, 'osm:way:lanes': '3', 'osm:way:name': 'Southampton Row', 'osm:way:oneway': 'no'}",65.26576088044251,uf~}nwaBqnhwo{`@gt|yFzhktH,107864,4681962046
3149,3149,107864,257810133,22.22222222222222,3000.0,2.0,1,{'car'},5221390716457825391,5221390717019330133,"{'osm:way:highway': 'primary', 'osm:way:id': 215298798.0, 'osm:way:lanes': '2', 'osm:way:name': 'Russell Square', 'osm:way:oneway': 'no'}",75.56953204348488,uf~}nwaBqnhwo{`@txrzJzf~dG,107864,257810133
560,560,107864,107865,22.22222222222222,6000.0,4.0,1,{'car'},5221390716457825391,5221390715645053651,"{'osm:way:highway': 'primary', 'osm:way:id': 513773775.0, 'osm:way:lanes': '4', 'osm:way:name': 'Russell Square'}",94.75225232105672,uf~}nwaBqnhwo{`@nxgmJ{zn~L,107864,107865
558,558,107865,11863161,22.22222222222222,6000.0,4.0,1,{'car'},5221390715645053651,5221390715291894409,"{'osm:way:highway': 'primary', 'osm:way:id': 513773776.0, 'osm:way:lanes': '4', 'osm:way:name': 'Russell Square'}",92.832084396775,emuocwaBmjxv}{`@tqbhJ}}psL,107865,11863161
559,559,107865,107864,22.22222222222222,6000.0,4.0,1,{'car'},5221390715645053651,5221390716457825391,"{'osm:way:highway': 'primary', 'osm:way:id': 513773775.0, 'osm:way:lanes': '4', 'osm:way:name': 'Russell Square'}",94.75225232105672,emuocwaBmjxv}{`@oxgmJzzn~L,107865,107864
2212,2212,107866,11863149,4.166666666666667,1200.0,2.0,1,{'car'},5221390745522165083,5221390745606345395,"{'osm:way:highway': 'residential', 'osm:way:id': 4592636.0, 'osm:way:lanes': '2', 'osm:way:name': 'Heathcote Street'}",40.611667741346245,y|hj}yaBkke|}~`@nyw|E~pumB,107866,11863149
2257,2257,107866,107867,22.22222222222222,1500.0,1.0,1,{'car'},5221390745522165083,5221390747166485757,"{'osm:way:highway': 'primary', 'osm:way:id': 166364279.0, 'osm:way:name': ""Gray's Inn Road""}",75.69558372489712,y|hj}yaBkke|}~`@rnx_EsnvbL,107866,107867
2258,2258,107866,14776839,22.22222222222222,1500.0,1.0,1,{'car'},5221390745522165083,5221390814335766193,"{'osm:way:highway': 'primary', 'osm:way:id': 166364279.0, 'osm:way:name': ""Gray's Inn Road""}",229.1158104296782,y|hj}yaBkke|}~`@gzkzTfmmvd@,107866,14776839
2255,2255,107867,12144878,22.22222222222222,1500.0,1.0,1,{'car'},5221390747166485757,5221390747036858279,"{'osm:way:highway': 'primary', 'osm:way:id': 166364278.0, 'osm:way:name': ""Gray's Inn Road""}",58.02910925411988,emoiwyaB_{|_k_a@piuqBkpanI,107867,12144878
2256,2256,107867,107866,22.22222222222222,1500.0,1.0,1,{'car'},5221390747166485757,5221390745522165083,"{'osm:way:highway': 'primary', 'osm:way:id': 166364279.0, 'osm:way:name': ""Gray's Inn Road""}",75.69558372489712,emoiwyaB_{|_k_a@snx_ErnvbL,107867,107866
